# values taken from L1-L2 optical alignment report, p.16 (couldn't locate raw data or spreadsheet containing these numbers, so reading off of pptx image)
# L1 SMRs
# LABEL X Y Z
# L2 optical vertices wrt L2S2 optical coordinate frame (L2S1=[0,0,-30.050], L2S2=[0,0,0])
# Target Distance for L1S1 to L2S1: d[x,y,z]=[0,0,494.872]
# Target relationship of L1S1 optical coordinate frame wrt L2S2 optical coordinate frame:
#  translation: [x',y',z']=[x,y,z-524.922]
#  proj. angle X(deg) = 90 (Ry from Z) ??
#  proj. angle Y(deg) = 90 (Rz from X) ??
#  proj. angle Z(deg) = 90 (Rx from Y) ??




